label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
4	886 m^3	0.9741	Inan	SACRAMENTO	0.4709	907	cOMPUTATIONAL mEDIA	0.582	706	902	fABRICE	0.6188	872	945
5	938 m^3	0.8178	Michael	Irvine	1.0429	684	Natural Language Processing	0.7318	719	1027	Eriq	0.5294	914	358
0	910 m^3	0.8819	Sam	Modesto	1.1619	774	Statistics	0.7844	1075	778	Tony	0.2965	1046	NULL
2	1032 m^3	1.0123	Eriq	Bakersfield	0.0711	1098	Human Computer Interaction	0.9376	1249	567	Lise	1.0607	1095	888
4	819 m^3	1.088	Inan	Sacramento	0.2118	902	Computer Science	0.9589	838	1148	Fabrice	1.1733	911	879
3	780 m^3	0.8479	cHRIS	Santa Ana, Fremont	0.7158	36	Technology and Information Management	0.3407	902	957	Vani	1.0348	1008	967
8	735 m^3	0.1925	n/a	San Bernardino, Oakland	0.8934	685	Technology and Information Management	0.9951	1185	326	Michael	0.6968	1122	1324
8	968 m^3	0.5756	Reilly	Santa Clarita	0.7213	971	Computer Engineering	n/a	1066	618	Michael	1.0261	1320	943
7	1009 m^3	0.8835	Chris	San Jose	0.868	934	Robotics Engineering	0.5396	1030	1064	Sam	1.1928	313	1106
7	795 m^3	0.7665	Chris	San Jose	0.941	560	Robotics Engineering	0.6823	931	773	Sam	1.2431	265	1040
8	812 m^3	0.2013	Reilly	Fresno, Santa Clarita	0.6796	1059	Computational Media	0.9588	1027	439	Michael	0.7538	1019	917
5	1134 m^3	0.5352	Michael	Irvine	1.0211	533	Applied Mathematics	1.0529	866	988	Eriq	0.6097	1208	386
3	1151 m^3	0.5797	Fabrice	N/A	0.9	496	Technology and Information Management	0.4416	816	981	Vani	1.085	NULL	909
2	1043 m^3	0.9045	Eriq	Bakersfield	0.2191	897	Human Computer Interaction	1.1598	1003	829	Lise	0.8133	950	830
3	1042 m^3	0.8084	Fabrice	Santa Ana	0.7868	195	Technology and Information Management	0.5268	559	1016		0.8692	1044	1101
8	789 m^3	0.2899	Reilly	San Bernardino	0.4857	1081	Computational Media	0.9515	938	284	Michael	0.9107	888	891
8	1210 m^3	0.1401	Reilly	Fresno, Oakland	0.6791	1140	cOMPUTATIONAL mEDIA	0.9195	852	372	Michael	0.8656	1053	1027
3	1140 m^3	0.7309	Fabrice	Santa Ana	0.7095	146	Technology and Information Management	0.2719	722	766	Vani	0.9787	1038	824
2	986 m^3	0.6883	Eriq	Bakersfield	-0.1011	645	Human Computer Interaction	0.8997	1182	1077	Lise	0.8506	895	845
1	946 m^3	0.9768	Sam	Stockton	1.0944	943	Games and Playable Media	0.5308	1120	1150	Fabrice	0.8994	378	1080
5	831 m^3	0.7215	Michael	Irvine	0.884	503	nATURAL lANGUAGE pROCESSING	1.2584	1028	1159	Eriq	0.5767	1069	17
7	1065 m^3	0.8164	Chris	San Jose	0.996	1329	Robotics Engineering	0.6487		951	Sam	0.9252	425	1304
2	1240 m^3	1.2058	Eriq	Bakersfield	0.1426	1081	Human Computer Interaction	0.5321	1036	1048	NULL	0.9655	865	480
7	977 m^3	0.7109	Chris	San Jose	0.9179	993	Robotics Engineering	0.9965	1040	1294	Sam	1.0343	444	745
5	1148 m^3	0.8268	Michael	Irvine	0.9023	386	Natural Language Processing	1.2351	None	N/A	Eriq	0.4504	957	151
0	961 m^3	0.9008	Lise	Modesto	1.054	802	Statistics	1.0982	1093	701	Tony	0.1651	995	1135
1	1099 m^3	0.9667	Sam	Stockton	1.0581	827	Human Computer Interaction	0.7691	1058	1050	cHRIS	0.9502	240	1016
8	683 m^3	0.1769	Reilly	Fresno, Santa Clarita	0.9111	968	Computational Media	1.0739	1118	266	Michael	0.9166	1133	947
6	841 m^3	1.0074	Tony	Moreno Valley	0.8017	967	Electrical Engineering	0.9645	369	788	Andrew	1.0001	389	1135
8	627 m^3	0.119	Reilly	Oakland, Santa Clarita	0.6718	873	Computational Media	0.7047	1010	332	Michael	1.0945	884	916
0	1098 m^3	0.6286	Lise	San Diego	0.8733	689	Statistics	1.0488	1030	572	Inan	0.1418	N/A	719
4	1009 m^3	1.2075	Andrew	Riverside	0.2854	938	Computer Science	0.7904	493	939	Fabrice	1.1049	709	734
